Siren;Raison Sociale
502454887;ALLIANCE CONNECTIC
025420068;ALLIANCE HEALTHCARE FRANCE SA (AHF)
497506162;ALLIANCE HEALTHCARE GROUP FRANCE
421218132;ALLIANCE HEALTHCARE REPARTITION
775670532;ALLIANCE PROFESSIONNELLE RETRAITE AGIRC-ARRCO
393953278;ALLIANCE RESEAUX
529193997;ALLIANCE TRES HAUT DEBIT
512743006;ALLIANTEL
340234962;ALLIANZ VIE
481814630;ALLO BOTTIN
824638209;ALLOPASS
499482925;ALLSET
432701639;ALMERYS
518213699;ALNILAM SARL
888325958;ALPES NETWORKS
799731229;ALPESYS
504403361;ALPHA COM
888185519;ALPHAFIBER
423645688;ALPHALINK
480083047;ALSACE CONNEXIA
392213146;ALSAPAN
479858235;ALSATIS
451152862;ALSATIS SERVICES
447767344;ALSTOM ITC
535056378;ALTAREA ENTREPRISE
323790956;ALTAVIA PARIS
922593363;ALTEMED, SOCIETE DE COORDINATION
348607417;ALTEN
479321515;ALTER TELECOM
801577479;ALTERCAMINO
382095206;ALTEREOS
830286365;ALTERGO
429526775;ALTERNATIVE PARTNER SOLUTIONSL
833425283;ALTERNUM TELECOM
794661470;ALTICE FRANCE
832739403;ALTINEA
831500038;ALTITUDE FIBRE 21
822893186;ALTITUDE FIBRE 39
845170604;ALTITUDE FIBRE 40
538581448;ALTITUDE INFRA CALVADOS
527512081;ALTITUDE INFRA COEUR COTE FLEURIE
508791639;ALTITUDE INFRA DUNKERQUE GRAND LITTORAL
498710193;ALTITUDE INFRA GRAND NANCY
922351044;ALTITUDE INFRA GRAVELINES
798626750;ALTITUDE INFRA HAUTE-SAVOIE
807897608;ALTITUDE INFRA SOMME
403112667;ALTITUDE INFRASTRUCTURE
509662052;ALTITUDE INFRASTRUCTURE EXPLOITATION
809822935;ALTITUDE INFRASTRUCTURE THD
428787246;ALTITUDE TELECOM
529222879;ALTRAD INVESTMENT AUTHORITY
702012956;ALTRAN TECHNOLOGIES
437941701;ALTRASOFT
800918559;ALTSYSNET.COM
403340029;ALTURING
313842189;ALU RIDEAU
976120030;ALUK INDUSTRIES
503111668;ALWAYS ON
483883534;ALYOTECH
402723050;AM TRUST
518421466;AMADEUS
503591711;AMARYLLIS
501659056;AMAURY SERVICES
514475573;AMBITION CONSULTING & SERVICES
499872349;AMBITION TELECOM & RESEAUX
440718187;AMEDIA SOLUTIONS
062501275;AMER SPORTS FRANCE
424802734;AMERICAN GREETINGS INTERACTIVE FRANCE
443171558;AMPLITUDE
344121686;AMUNDI IT SERVICES
330540907;AMV
433427267;ANAPSYS
331250712;ANAVEO PREVENT
428682447;ANDROS
908501695;ANDROS GLOBAL SERVICES
894517721;ANGELINKS
837780949;ANJOU FIBRE
452072184;ANNATEL
511227654;ANNICK LEGALLAND
334159472;ANSAMBLE
410336069;ANTALIS
410330765;ANTALIS FRANCE
804493542;ANTHONY MORAUD LUDGER
431401439;ANTIANE
403062078;ANTILLES INTERNET SERVICES
419753025;AOL AMERICA ONLINE FRANCE HOLDING SARL
402192777;AOL FRANCE SNC
790412498;AOWOA
775606114;APEI OUEST 44
775688732;APF FRANCE HANDICAP
477181010;API RESTAURATION
417591971;APICIL TRANSVERSE
851219469;APINET
490625662;APIVIA COURTAGE
779558501;APIVIA MACIF MUTUELLE
391897261;APIVIA SANTE
803845585;APPEL TELECOM
482112331;APPENIN
524227154;APPLIWAVE
438943904;APPOLONIA
775691892;APRIA R.S.A
419399480;APRIL TECHNOLOGIES
503829368;APROVALL
552081739;APTAR FRANCE SAS
843917915;AQUILA
342493822;AQUITEM
483446001;ARA TELECOM SARL
508519584;ARAGON TELECOM
800700247;ARAVIS INFORMATIQUE
562094425;ARCELORMITTAL FRANCE
382720373;ARCELORMITTAL TREASURY
750093312;AREAMS / ASS RESS ACCOMP MEDIC ET SOCIAL
775670466;AREAS DOMMAGES
421204793;ARELION FRANCE
712054923;AREVA
823228507;ARIANE.NETWORK
519032247;ARIANEGROUP SAS
498161199;ARIEGE TELECOM
817389588;ARIEGE TRES HAUT DEBIT
887984078;ARISTEE DATA
445074685;ARKEMA
319632790;ARKEMA FRANCE
424810240;ARKENIS FRANCE
801137746;ARMAGNAC DISTRIBUTION
350470563;ARMATIS
499388999;ARMATIS FRANCE
540030848;ARMATIS HOLDING
857800692;ARMOR
505109561;ARMOR CONNECTIC
952923399;ARPA NETWORK
494343197;ARQIVA SAS
662043405;ARQUUS
479033789;ARRAS NETWORKS
546650367;ARRIVE
493897359;ARS TELECOM
392346904;ARSA
524393873;ART CONNECTING
410215198;ART ET GOURMANDISE TRAITEUR
853601607;ARTECKA - INFORMATIQUE & TELECOM
444110936;ARTEFACT
802044776;ARTELIA HOLDING
444279095;ARTERIA
378457352;ARTIS
352256424;ARVAL SERVICE LEASE
413473117;ARVATO CHANTELOUP SAS
418476792;ARVITIS BORDEAUX
479752131;ARYZTA FRANCE
377867239;ASCA
834895500;ASCOMETAL FRANCE HOLDING SAS
752343632;ASII TELECOM
411222045;ASP - ONE EUROPE
793618828;ASPEN NOTRE DAME DE BONDEVILLE
451777254;ASPSERVEUR
784413486;ASS CENTR DISTRIBUT E LECLERC
393996517;ASS DE GESTION DE LA MAISON DE MECANIQ
305586372;ASS DE GESTION DU GROUPE MORNAY EUROPE
817699846;ASS DES RESEAUX ETUDIANTS DE SACLAY
306843731;ASS DIFFUSION SERVICES
445174675;ASS HOPITAL ST JOSEPH MARSEILLE
775728223;ASS INT CTRE MED SOCIAUX REG ILE FRANC
332803519;ASS LAIQUE GESTION ETS EDUC INSERT
330402991;ASS PREVENTION REINSERTION SOCIALE
775341381;ASS PREVENTION SANTE TRAVAIL 37
382865624;ASS RELATIVE TELEVISION EUROPEENNE
110000015;ASSEMBLEE NATIONALE
267500452;ASSISTANCE PUBLIQUE HOPITAUX DE PARIS
311110415;ASSISTANCE SERVICES
489944058;ASSMANN DEVELOPPEMENT
329325005;ASSO DEVELOPPEMENT DU SERVICE NOTARIAL
320861818;ASSOCIATION AUDOISE SOCIALE ET MEDICAL
507628444;ASSOCIATION DE MOYENS RETRAITE
394164966;ASSOCIATION DE PROTECTION SOCIALE DU BATIMENT ET DES TRAVAUX PUBLICS PRO BTP
529187775;ASSOCIATION FRANCILIENS.NET
408457299;ASSOCIATION HOPITAL FOCH
840599930;ASSOCIATION MOYENS ASSURANCE PERSONNES
840600001;ASSOCIATION MOYENS RETRAITE COMPLEMENT
842906000;ASSOCIATION TRANSVISION NET WORK
793161530;ASSOCIATION VIVIERS FIBRE
784394397;ASSUR MUTUEL COMPTABLES & FONCTIONNAIR
328538335;ASSURANCE MUTUELLE DES MOTARDS
305362162;ASSURANCES 2000
444159164;ASSYSTEM ENGINEERING AND OPERATION SCE
439752817;ASTEK FRANCE
323789990;ASTEN CLOUD
558201075;ASTRAZENECA
393271556;AT & T FRANCE
422399279;AT&T GLOBAL NETWORK SERVICES FRANCE SA
572181170;ATALIAN
848056131;ATC FRANCE RESEAUX
720500800;ATD
316535046;ATELIER FOREZIEN DU FRAIS
535105100;ATELIER OLIVIER CHARNAY TELECOM
381529049;ATELIERS MODELES
417704061;ATLANTEL MULTIMEDIA
335310348;ATLANTIC MEDIA
413090259;ATLANTIC TELECOM SA
894458413;ATLAS IP
424097103;ATLAS SERVICE ET DEVELOPPEMENT
448820837;ATOLL SOLUTIONS
350827788;ATOS
408024719;ATOS FRANCE
064502636;ATOS INFOGERANCE
412190977;ATOS INTERNATIONAL
323623603;ATOS SE
384095865;ATRAL SERVICES
797855160;ATS OPERATEUR
903117547;ATTIS
403092968;AU FORUM DU BATIMENT
380342808;AUBERT & DUVAL
343340543;AUBRILAM
422332312;AUCHAN INTERNATIONAL TECHNOLOGY
831888318;AUCHAN RETAIL SERVICES
480067719;AUCHAN TELECOM
401923883;AUCS COMMUNICATIONS SERVICES (FRANCE) SA
385079009;AUDIOVISUEL ET SYSTEMES DE COMMUNICATI
451566335;AUDIT CONS MAINTENANCE SECURITE INFOR
410903199;AUDIVOX
408403251;AURANEXT
450826870;AURANEXT
652051178;AUREL BGC
538487885;AUTAJON SERVICES
962227351;AUTODISTRIBUTION
380448985;AUTO-GUADELOUPE DEVELOPPEMENT
884638586;AUTOMOTIVE CELLS COMPANY SE
884638586;AUTOMOTIVE CELLS COMPANY SE
417798519;AUTOREFLEX.COM
130001803;AUTORITE DE SURETE NUCLEAIRE
110000353;AUTORITE REGUL COMM ELECTRO POSTES
798020202;AUVERGNE NUMERIQUE
508661311;AUVERGNE TELECOM
529193054;AUVERGNE TRES HAUT DEBIT
521111880;AUVERGNE.IT
451739908;AVANTI
451426746;AVELIA
330447236;AVEM
409052651;AVENIR AUDIOTEL MULTI MEDIA TELECOMMUN
304463284;AVENTIS PHARMA SARL
393554639;AVIATION LEGERE LOCATION
487610545;AVIR TELECOM - NOVELCOM
833983372;AVISO
552076010;AVNET EMG FRANCE
799403050;AVRIL
817481500;AVRIL SERVICES
534318209;AWEDIA
572093920;AXA
399214287;AXA GROUP OPERATIONS
353534506;AXA INVESTMENT MANAGERS PARIS
789177391;AXEL SPRINGER DIGITAL CLASSIFIEDS FR
420950636;AXESSONE FRANCE
353210446;AXIALYS
391498268;AXIALYS INTERACTIVE
582081782;AXIMUM
449586544;AXIONE
484127238;AXIONE LIMOUSIN
338522618;AXONE
798160669;AXUP
421342023;AXXON TELECOM
414119735;AYMING
432487502;AYXO INFOGERANCE
531151470;AZA TELECOM
509649745;AZALEE
499946630;AZERGO
423880061;AZNETWORK
815113246;AZUR CONSULTING
804577211;AZUR IP
514555846;AZURTEM
495199325;AZYLIS
538640996;B & C SAS BACKBONNE ET COMMUNICATIONS
927250217;B.A.I BRITTANY FERRIES
449637602;B3G
448978304;B3G ONLINE
440076552;B3G TELECOM
423160829;B3G TELECOM FRANCE
612021923;BABYLISS SARL
760800060;BACCARAT
562077792;BALAS
464200369;BALGUERIE
843444001;BANK OF AMERICA MERILL LYNCH
722047552;BANQUE CHAABI DU MAROC
572104891;BANQUE DE FRANCE
305776890;BANQUE DELUBAC ET CIE
552003261;BANQUE NEUFLIZE OBC
542104245;BANQUE PALATINE
605520071;BANQUE POPULAIRE AUVERGNE RHONE ALPES
857500227;BANQUE POPULAIRE GRAND OUEST
828698795;BARNA CONSULTING S.A.S
399070820;BARRY ROGLIANO SALLES
005450093;BASALPINE AUTOCARS
542069158;BASF FRANCE SAS
582000105;BATIGERE EN ILE DE FRANCE
304317357;BAXTER S.A.S
562038893;BAYER SAS
832546055;BAYLINK
484661434;BAZILE
752132589;BCB CONSEILS
331233940;BCW
334517562;BD MULTI MEDIA
790066278;BE2BE TELECOM
379445984;BEAUTE PRESTIGE INTERNATIONAL
429057342;BEAUTE RECHERCHE & INDUSTRIES
852233881;BECK-CRESPEL
507715365;BEE TECHNOLOGY
522722743;BEE TECHNOLOGY ANTILLES GUYANE
542088067;BEL
451015986;BELGACOM
410307383;BELGACOM FRANCE
422588285;BELGACOM INT CARRIER SCE FRANCE SAS
441023876;BELGACOM PRESENCE
821353109;BELL
512635160;BEMOVE
884421892;BENTA SAS
380231316;BERGERAT MONNOYEUR
305524746;BERICAP
377986773;BERICAP
784320921;BERLUTI
506950211;BERNER
823545595;BERRY FIBRE OPTIQUE
200041481;BERRY NUMERIQUE
893273524;BERRY THD
422868851;BERTRANDT
409072501;BEST DATA LINE
824500557;BFC FIBRE
824076129;B-GUARD PROTECTION
403361439;BIGBEN CONNECTED
320992977;BIGBEN INTERACTIVE
513904938;BIGDAD SAID
320671233;BIHR
316644640;BILS DEROO HOLDING
333134799;B'INFORMATION SERVICES
562064600;BIOCODEX
382891752;BIOCOOP
412961088;BIOGROUP COTE D'AZUR
673620399;BIOMERIEUX SA
449990712;BIO-RAD FRANCE
712041458;BIO-RAD FRANCE HOLDING
797692019;BITS BROTHERS
480234210;BJT PARTNERS
320052889;BL QUINCAILLERIE
917491540;BLANCH PAULYNE
301374922;BLEDINA
953440591;BLEU SA
385038724;BLOT IMMOBILIER
429583321;BLR SERVICES
509072500;BLUE NETWORKS TECHNOLOGIES
828704460;BLUE WIRE FRANCE
528872625;BLUECARSHARING
397800574;BLUEGIX
797914405;BLUE-INFRA
899338826;BMI GROUP FRANCE
722000965;BMW FRANCE
662042449;BNP PARIBAS
421292079;BNP PARIBAS IMMOB PROMO IMMOB D ENTR
433910247;BNP PARIBAS PARTNERS FOR INNOVATION
542097902;BNP PARIBAS PERSONAL FINANCE
552087835;BODEMER
775610504;BODET SA
524343191;BOHOO
967504697;BOIRON
055804124;BOLLORE SE
487529232;BOLLORE TELECOM
780901559;BON SAUVEUR DE LA MANCHE
422081653;BONPRIX
417776853;BOOGE
243300316;BORDEAUX METROPOLE
380788083;BOSSARD FRANCE
310473178;BOTANIC-SERRES DU SALEVE
518981030;BOUCHECOUSUE
519197503;BOULANGER CUSTOMER CARE
775618036;BOULANGERIE NEUHAUSER
837693936;BOURDELAT JULIEN
351058151;BOURSORAMA
318697687;BOUYER LEROUX
483617452;BOUYGUES BATIMENT ILE-DE-FRANCE PPP
775664873;BOUYGUES ENERGIES & SERVICES
562091546;BOUYGUES IMMOBILIER
397480930;BOUYGUES TELECOM
421713892;BOUYGUES TELECOM BUSINESS - DISTRIBUTION
479251811;BOZON IMAGE ET SON
493455042;BPCE
350663860;BPCE ASSURANCES IARD
379155369;BPCE LEASE
320252489;BPIFRANCE
801250531;BRANDT FRANCE
552091795;BRED BANQUE POPULAIRE
810936682;BREEN
483400628;BRETAGNE TELECOM
582056149;BRGM
308575158;BRIAND CONSTRUCTIONS METALLIQUES
420809923;BRICOMAN
361200389;BRIDGESTONE FRANCE
672009636;BRINK'S FRANCE
305119125;BRIOCHE PASQUIER CERQUEUX
430054908;BRITISH TELECOM FRANCE
550200661;BRL
341911790;BSH ELECTROMENAGER
452456585;BSO NETWORK SOLUTIONS
342647336;BT FRANCE
394999577;BT FRANCE
702032145;BT FRANCE
318906443;BUFFALO GRILL
883630337;BUILEE
642058739;BULL SAS
312347362;BUNSHA
449266212;BUNZL HOLDINGS FRANCE SAS
775563455;BUREAU NATIONAL INTERPR COGNAC
775690621;BUREAU VERITAS
790184675;BUREAU VERITAS EXPLOITATION
916720766;BURKERT
440011427;BUSINESS GEOGRAFIC
751647389;BUSINESS TELECOM
402960397;BUTAGAZ
909131385;BUZZEE TELECOM
333263846;BWT POOL PRODUCTS
512261306;BY MY CAR GROUP
907926836;BYMYCAR SALES & SERVICES
552064602;C S INFORMATIC
340140102;C T V
397944810;C.B.A INFORMATIQUE LIBERALE
381816966;C.T.L.(CENTRE TECHNIQUE LEADER)
200066918;CA ALES AGGLOMERATION
200068997;CA ARLYSERE
200056232;CA COMMUNAUTE PARIS-SACLAY
200070092;CA DU LIBOURNAIS
200069037;CA DU PAYS DE SAINT-OMER
200059228;CA GD PARIS SUD SEINE ESSONNE SENART
248600413;CA GRAND CHATELLERAULT
200067254;CA PAU BEARN PYRENEES
200065647;CA PAYS DE MONTBELIARD AGGLOMERATION
200067346;CA PORNIC AGGLO PAYS DE RETZ
200067965;CA REG COMPIEGNE BASSE AUTOMNE
200066058;CA SAINT LOUIS AGGLOMERATION
200069250;CA TROYES CHAMPAGNE METROPOLE
200058485;CA VAL PARISIS
443542642;CAB
322270513;CABINET CONSEIL EN INFORMATIQUE FALGON
443156286;CABLE & WIRELESS M & G
417740255;CABLE WIRELESS ISDNET
304187701;CACIB
494885841;CACIIS
835272071;CAELIS
478688039;CAEN.COM
314685728;CAFES MERLING GESTION
552075749;CAILLAU
381202282;CAISSE ALLOC FAMILIALES VAL MARNE
775694748;CAISSE CENTRALE ACTIVITE SOCIALE
302990445;CAISSE CENTRALE MSA
782825269;CAISSE COMPENS CONGES PAYES PERSON POR
314560822;CAISSE D ALLOCATIONS FAMILIALE GPE
180020026;CAISSE DES DEPOTS ET CONSIGNATIONS
383984879;CAISSE EPARGNE PREVOYANCE ALSACE
775618622;CAISSE EPARGNE PREVOYANCE GD EST EUR
383000692;CAISSE EPARGNE PREVOYANCE HTS FRANCE
382900942;CAISSE EPARGNE PREVOYANCE IDF
314024969;CAISSE GLE SECURITE SOCIALE MARTINIQUE
403915903;CAISSE LOCALE CAM LHL ST BONNET CHATEA
321893844;CAISSE LOCALE CREDIT AGRICOLE MUTUEL
180035032;CAISSE NAT ASSUR VIEIL TRAVAIL SALARIE
180035065;CAISSE NAT DES ALLOCATIONS FAMILIALES
180090045;CAISSE NAT MILITAIRE DE SECURITE SOCIA
180035024;CAISSE NATIONALE ASSURANCE MALADIE
784275919;CAISSE NATIONALE BARREAUX FRANCAIS
341246122;CAISSE PREVOYANCE ET RETRAITE PERS FERROVIAIRE
379906753;CAISSE REG ASSUR MUT AGRIC GD EST
440242469;CAISSE REG CRED AGRIC MUT ATLANTIQUE V
313976383;CAISSE REG CREDIT AGRI MUT MART GUYANE
775590847;CAISSE REGIONALE CREDIT AGRICOLE MUTUE
383844693;CAISSE REGIONALE D'ASSURANCES MUTUELLES AGRICOLES BRETAGNE PAYS DE LA LOIRE
381043686;CAISSE REGIONALE D'ASSURANCES MUTUELLES AGRICOLES CENTRE-ATLANTIQUE
775672009;CAISSE RETRAITE PREVOYANCE
343874897;CAJOLIEN FINANCIERE ET GESTION
702031030;CALDERYS FRANCE
831433719;CALL POWER
491456356;CALLIPSE TELECOM
490630316;CALLVALUE
378215065;CALVACOM
414307355;CALVAEDI
353445463;CAMACTE
345086177;CAMAIEU INTERNATIONAL
005440110;CAMAU RENE
432606069;CAMBIO
781840533;CAMBRON  PESIN DUPONT LAGRIFOUL...
892343633;CAMPUS CYBER
351555792;CANAL + TELECOM
305036543;CANAVESE
695621250;CANNES BALNEAIRE
483687935;CAP CONNEXION
539179515;CAPACOM
509046520;CAPAIX CONNECTIC
891217598;CAPANET
504297441;CAPECOM
308148691;CAPELLE
312057110;CAPET
330703844;CAPGEMINI
479766800;CAPGEMINI CONSULTING
444495774;CAPGEMINI ENGINEERING RESEARCH AND DEVELOPMENT
328781786;CAPGEMINI FRANCE
479766982;CAPGEMINI OUTSOURCING SERVICES
652025792;CAPGEMINI SERVICE
479766842;CAPGEMINI TECHNOLOGY SERVICES
347840068;CAPGEMINI TELECOM MEDIA DEFENSE
411907595;CAPINFO
529193377;CAPS TRES HAUT DEBIT
419540067;CAPSAUTO
612050518;CAPSUGEL FRANCE
200035715;CARCASSONNE AGGLO
442854311;CARIBBEAN TELECOM MARTINIQUE
353451602;CARL ZEISS MEDITEC SAS
619200850;CARL ZEISS VISION FRANCE
311732887;CARMAT
340783828;CARNIATO EUROPE
672050085;CARREFOUR FRANCE
440091114;CARREFOUR ORGANIS SYSTEMES GPE COSG
433929114;CARREFOUR SYSTEMES D'INFORMATION
420702706;CARRIER 1 FRANCE SARL
437871320;CARTA SAS
428267249;CASINO SERVICES
818094690;CASTLE IT
401923859;CAT
572158269;CAT SAS
243000585;CC BEAUCAIRE TERRE D'ARGENCE
200072643;CC COEUR ET COTEAUX DU COMMINGES
200069441;CC DU PAYS DE BITCHE
200039949;CC RIVES DE MOSELLE
200090579;CC TERRE D EMERAUDE COMMUNAUTE
264000860;CCAS DE DAX
815389481;C'CHARTRES INNOVATIONS NUMERIQUES
186500013;CCI DES HAUTES PYRENEES
130022478;CCI REGION OCCITANIE
184401289;CCI REGION PAYS DE LA LOIRE
793906900;CCMCOM
800619561;CCS
423078310;CD SYS
789270378;CDA
424059822;CDISCOUNT
820580892;C-DOKI FRANCE
797828290;CDX TELECOM
334402310;CE UES MMA PARIS
448760363;CEE CARAIBES
969201532;CEETRUS FRANCE
350422622;CEGEDIM
790173066;CEGEDIM.CLOUD
310862644;CEGELEC LA REUNION
537915399;CEGELEC OUEST TELECOMS
537915670;CEGELEC PERPIGNAN
537916231;CEGELEC PORTES DE BRETAGNE
378966485;CEGEMA
409527454;CEGETEL
409710225;CEGETEL
413084690;CEGETEL 7
394983514;CEGETEL ETUDES ET GESTION
408595767;CEGETEL NICE
410218010;CEGID
327888111;CEGID GROUP
520615170;CEKOYA
387837032;CELAD
450734744;CELEONET
439905837;CELESTE
798844056;CELIENO
572034361;CELINE
313334856;CELIO FRANCE
353920713;CELLCORP
415291715;CELLHIRE FRANCE
260600176;CENT HOSP GENERAL DE GRASSE CLAVARY
778204271;CENTR GEORGES FRANCOIS LECLERC
411549231;CENTRAL TELECOM
392108932;CENTRALE D ACHAT UBALDI
523963692;CENTRALE PHOTOVOLTAIQUE DE CRUCEY 1
027250026;CENTRAVET
263305179;CENTRE COMMUNAL D'ACTION SOCIALE
265900092;CENTRE COMMUNAL D'ACTION SOCIALE
348086596;CENTRE DE REEDUCATION PAUL CEZANNE
950608406;CENTRE ELABORATION DES VIANDES
265702803;CENTRE HOSPITAL REGION METZ THIONVILLE
261400956;CENTRE HOSPITALIER
200053098;CENTRE HOSPITALIER AGEN-NERAC
